"","Site","Sample","season","scientific","Abundance.m2","oys.density","moys.density"
"1",2,1,"f","Gammaridae",195.3125,0,4.82539682539683
"2",2,1,"s","Gammaridae",651.041666666667,0,0
"3",2,1,"u","Gammaridae",121.527777777778,0,0
"4",2,1,"w","Gammaridae",416.666666666667,0,0
"5",2,1,"f","Lysianassidae",8.68055555555556,0,4.82539682539683
"6",2,1,"f","Corophiidae",82.4652777777778,0,4.82539682539683
"7",2,1,"s","Corophiidae",151.909722222222,0,0
"8",2,1,"u","Corophiidae",65.1041666666667,0,0
"9",2,1,"w","Corophiidae",30.3819444444444,0,0
"10",2,1,"s","Ampelisca abdita",13.0208333333333,0,0
"11",2,1,"w","Ampelisca abdita",8.68055555555556,0,0
"12",2,1,"f","Eurypanopeus depressus",190.972222222222,0,4.82539682539683
"13",2,1,"s","Eurypanopeus depressus",73.7847222222222,0,0
"14",2,1,"u","Eurypanopeus depressus",52.0833333333333,0,0
"15",2,1,"w","Eurypanopeus depressus",8.68055555555556,0,0
"16",2,1,"f","Callinectes sapidus",52.0833333333333,0,4.82539682539683
"17",2,1,"s","Callinectes sapidus",17.3611111111111,0,0
"18",2,1,"u","Callinectes sapidus",82.4652777777778,0,0
"19",2,1,"w","Callinectes sapidus",21.7013888888889,0,0
"20",2,1,"w","Fundulus grandis",8.68055555555556,0,0
"21",2,1,"f","Gobiosoma bosc/robustum",78.125,0,4.82539682539683
"22",2,1,"s","Gobiosoma bosc/robustum",21.7013888888889,0,0
"23",2,1,"u","Gobiosoma bosc/robustum",99.8263888888889,0,0
"24",2,1,"f","Gobiesox strumosus",4.34027777777778,0,4.82539682539683
"25",2,1,"s","Gobiesox strumosus",13.0208333333333,0,0
"26",2,1,"u","Gobiesox strumosus",4.34027777777778,0,0
"27",2,1,"f","Isopoda Anthuridae",4.34027777777778,0,4.82539682539683
"28",2,1,"s","Loxothylacus panopaei",4.34027777777778,0,0
"29",2,1,"f","Alitta succinea",17.3611111111111,0,4.82539682539683
"30",2,1,"s","Alitta succinea",21.7013888888889,0,0
"31",2,1,"u","Alitta succinea",30.3819444444444,0,0
"32",2,1,"w","Alitta succinea",82.4652777777778,0,0
"33",2,1,"f","Palaemonetes ",108.506944444444,0,4.82539682539683
"34",2,1,"s","Palaemonetes ",138.888888888889,0,0
"35",2,1,"u","Palaemonetes ",264.756944444444,0,0
"36",2,1,"w","Palaemonetes ",234.375,0,0
"37",2,1,"f","Alpheidae",4.34027777777778,0,4.82539682539683
"38",2,1,"f","Penaeus setiferus",4.34027777777778,0,4.82539682539683
"39",2,2,"f","Gammaridae",217.013888888889,16,4.82539682539683
"40",2,2,"s","Gammaridae",837.673611111111,0,0
"41",2,2,"f","Lysianassidae",4.34027777777778,16,4.82539682539683
"42",2,2,"f","Corophiidae",60.7638888888889,16,4.82539682539683
"43",2,2,"s","Corophiidae",477.430555555556,0,0
"44",2,2,"s","Ampelisca abdita",4.34027777777778,0,0
"45",2,2,"f","Eurypanopeus depressus",186.631944444444,16,4.82539682539683
"46",2,2,"s","Eurypanopeus depressus",30.3819444444444,0,0
"47",2,2,"f","Callinectes sapidus",34.7222222222222,16,4.82539682539683
"48",2,2,"s","Callinectes sapidus",30.3819444444444,0,0
"49",2,2,"f","Gobiosoma bosc/robustum",91.1458333333333,16,4.82539682539683
"50",2,2,"s","Gobiosoma bosc/robustum",34.7222222222222,0,0
"51",2,2,"s","Gobiesox strumosus",8.68055555555556,0,0
"52",2,2,"s","Myrophis punctatus",8.68055555555556,0,0
"53",2,2,"s","Isopoda Idoteidae",13.0208333333333,0,0
"54",2,2,"f","Isopoda Anthuridae",13.0208333333333,16,4.82539682539683
"55",2,2,"f","Isopoda Ancinidae",4.34027777777778,16,4.82539682539683
"56",2,2,"s","Loxothylacus panopaei",4.34027777777778,0,0
"57",2,2,"f","Alitta succinea",60.7638888888889,16,4.82539682539683
"58",2,2,"s","Alitta succinea",78.125,0,0
"59",2,2,"f","Palaemonetes ",95.4861111111111,16,4.82539682539683
"60",2,2,"s","Palaemonetes ",130.208333333333,0,0
"61",2,2,"f","Penaeus setiferus",4.34027777777778,16,4.82539682539683
"62",2,3,"f","Gammaridae",108.506944444444,16,4.82539682539683
"63",2,3,"u","Gammaridae",195.3125,0,0
"64",2,3,"w","Gammaridae",334.201388888889,0,0
"65",2,3,"f","Lysianassidae",21.7013888888889,16,4.82539682539683
"66",2,3,"f","Corophiidae",230.034722222222,16,4.82539682539683
"67",2,3,"u","Corophiidae",429.6875,0,0
"68",2,3,"w","Corophiidae",130.208333333333,0,0
"69",2,3,"f","Eurypanopeus depressus",147.569444444444,16,4.82539682539683
"70",2,3,"u","Eurypanopeus depressus",52.0833333333333,0,0
"71",2,3,"w","Eurypanopeus depressus",8.68055555555556,0,0
"72",2,3,"f","Callinectes sapidus",47.7430555555556,16,4.82539682539683
"73",2,3,"u","Callinectes sapidus",104.166666666667,0,0
"74",2,3,"w","Callinectes sapidus",4.34027777777778,0,0
"75",2,3,"f","Gobiosoma bosc/robustum",86.8055555555556,16,4.82539682539683
"76",2,3,"u","Gobiosoma bosc/robustum",121.527777777778,0,0
"77",2,3,"w","Gobiosoma bosc/robustum",13.0208333333333,0,0
"78",2,3,"u","Gobiesox strumosus",8.68055555555556,0,0
"79",2,3,"w","Isopoda Anthuridae",4.34027777777778,0,0
"80",2,3,"u","Isopoda Ancinidae",4.34027777777778,0,0
"81",2,3,"w","Isopoda Ancinidae",13.0208333333333,0,0
"82",2,3,"w","Probopyrus pandalicola",4.34027777777778,0,0
"83",2,3,"f","Alitta succinea",95.4861111111111,16,4.82539682539683
"84",2,3,"u","Alitta succinea",21.7013888888889,0,0
"85",2,3,"w","Alitta succinea",104.166666666667,0,0
"86",2,3,"f","Palaemonetes ",138.888888888889,16,4.82539682539683
"87",2,3,"u","Palaemonetes ",308.159722222222,0,0
"88",2,3,"w","Palaemonetes ",434.027777777778,0,0
"89",2,4,"f","Gammaridae",286.458333333333,0,4.82539682539683
"90",2,4,"s","Gammaridae",594.618055555556,0,0
"91",2,4,"u","Gammaridae",1141.49305555556,0,0
"92",2,4,"w","Gammaridae",212.673611111111,0,0
"93",2,4,"f","Corophiidae",56.4236111111111,0,4.82539682539683
"94",2,4,"s","Corophiidae",21.7013888888889,0,0
"95",2,4,"u","Corophiidae",95.4861111111111,0,0
"96",2,4,"w","Corophiidae",69.4444444444444,0,0
"97",2,4,"s","Ampelisca abdita",4.34027777777778,0,0
"98",2,4,"f","Mulinia lateralis",8.68055555555556,0,4.82539682539683
"99",2,4,"u","Mulinia lateralis",4.34027777777778,0,0
"100",2,4,"u","Diptera Chironomidae",13.0208333333333,0,0
"101",2,4,"f","Eurypanopeus depressus",316.840277777778,0,4.82539682539683
"102",2,4,"s","Eurypanopeus depressus",30.3819444444444,0,0
"103",2,4,"u","Eurypanopeus depressus",30.3819444444444,0,0
"104",2,4,"w","Eurypanopeus depressus",21.7013888888889,0,0
"105",2,4,"f","Callinectes sapidus",34.7222222222222,0,4.82539682539683
"106",2,4,"s","Callinectes sapidus",21.7013888888889,0,0
"107",2,4,"u","Callinectes sapidus",78.125,0,0
"108",2,4,"w","Callinectes sapidus",8.68055555555556,0,0
"109",2,4,"w","Fundulus grandis",4.34027777777778,0,0
"110",2,4,"f","Gobiosoma bosc/robustum",91.1458333333333,0,4.82539682539683
"111",2,4,"s","Gobiosoma bosc/robustum",34.7222222222222,0,0
"112",2,4,"u","Gobiosoma bosc/robustum",99.8263888888889,0,0
"113",2,4,"w","Gobiosoma bosc/robustum",34.7222222222222,0,0
"114",2,4,"u","Gobiesox strumosus",4.34027777777778,0,0
"115",2,4,"w","Gobiesox strumosus",8.68055555555556,0,0
"116",2,4,"u","Hypsoblennius hentz",4.34027777777778,0,0
"117",2,4,"u","Hypsoblennius ionthas",13.0208333333333,0,0
"118",2,4,"s","Vitta usnea",4.34027777777778,0,0
"119",2,4,"s","Isopoda Anthuridae",4.34027777777778,0,0
"120",2,4,"f","Alitta succinea",52.0833333333333,0,4.82539682539683
"121",2,4,"s","Alitta succinea",4.34027777777778,0,0
"122",2,4,"u","Alitta succinea",17.3611111111111,0,0
"123",2,4,"w","Alitta succinea",91.1458333333333,0,0
"124",2,4,"f","Palaemonetes ",117.1875,0,4.82539682539683
"125",2,4,"s","Palaemonetes ",30.3819444444444,0,0
"126",2,4,"u","Palaemonetes ",338.541666666667,0,0
"127",2,4,"w","Palaemonetes ",703.125,0,0
"128",2,4,"f","Penaeus setiferus",4.34027777777778,0,4.82539682539683
"129",2,5,"f","Gammaridae",108.506944444444,0,4.82539682539683
"130",2,5,"s","Gammaridae",169.270833333333,0,0
"131",2,5,"u","Gammaridae",598.958333333333,0,0
"132",2,5,"w","Gammaridae",303.819444444444,0,0
"133",2,5,"f","Lysianassidae",8.68055555555556,0,4.82539682539683
"134",2,5,"f","Corophiidae",108.506944444444,0,4.82539682539683
"135",2,5,"s","Corophiidae",34.7222222222222,0,0
"136",2,5,"u","Corophiidae",95.4861111111111,0,0
"137",2,5,"w","Corophiidae",60.7638888888889,0,0
"138",2,5,"s","Ampelisca abdita",4.34027777777778,0,0
"139",2,5,"s","Diptera Chironomidae",4.34027777777778,0,0
"140",2,5,"f","Eurypanopeus depressus",195.3125,0,4.82539682539683
"141",2,5,"s","Eurypanopeus depressus",43.4027777777778,0,0
"142",2,5,"u","Eurypanopeus depressus",34.7222222222222,0,0
"143",2,5,"w","Eurypanopeus depressus",86.8055555555556,0,0
"144",2,5,"f","Callinectes sapidus",21.7013888888889,0,4.82539682539683
"145",2,5,"s","Callinectes sapidus",13.0208333333333,0,0
"146",2,5,"u","Callinectes sapidus",138.888888888889,0,0
"147",2,5,"w","Callinectes sapidus",4.34027777777778,0,0
"148",2,5,"f","Gobiosoma bosc/robustum",99.8263888888889,0,4.82539682539683
"149",2,5,"s","Gobiosoma bosc/robustum",65.1041666666667,0,0
"150",2,5,"u","Gobiosoma bosc/robustum",108.506944444444,0,0
"151",2,5,"w","Gobiosoma bosc/robustum",26.0416666666667,0,0
"152",2,5,"s","Gobiesox strumosus",13.0208333333333,0,0
"153",2,5,"u","Gobiesox strumosus",13.0208333333333,0,0
"154",2,5,"f","Hypsoblennius ionthas",4.34027777777778,0,4.82539682539683
"155",2,5,"u","Hypsoblennius ionthas",8.68055555555556,0,0
"156",2,5,"f","Isopoda Idoteidae",4.34027777777778,0,4.82539682539683
"157",2,5,"s","Isopoda Idoteidae",4.34027777777778,0,0
"158",2,5,"u","Isopoda Idoteidae",4.34027777777778,0,0
"159",2,5,"w","Nemertea",8.68055555555556,0,0
"160",2,5,"w","Probopyrus pandalicola",4.34027777777778,0,0
"161",2,5,"f","Alitta succinea",39.0625,0,4.82539682539683
"162",2,5,"s","Alitta succinea",60.7638888888889,0,0
"163",2,5,"u","Alitta succinea",34.7222222222222,0,0
"164",2,5,"w","Alitta succinea",52.0833333333333,0,0
"165",2,5,"f","Palaemonetes ",69.4444444444444,0,4.82539682539683
"166",2,5,"s","Palaemonetes ",21.7013888888889,0,0
"167",2,5,"u","Palaemonetes ",290.798611111111,0,0
"168",2,5,"w","Palaemonetes ",47.7430555555556,0,0
"169",2,5,"f","Alpheidae",8.68055555555556,0,4.82539682539683
"170",2,5,"w","Alpheidae",4.34027777777778,0,0
"171",2,5,"u","Penaeus aztecus",8.68055555555556,0,0
"172",2,5,"f","Penaeus setiferus",13.0208333333333,0,4.82539682539683
"173",2,6,"f","Gammaridae",3020.83333333333,0,4.82539682539683
"174",2,6,"s","Gammaridae",186.631944444444,0,0
"175",2,6,"u","Gammaridae",529.513888888889,0,0
"176",2,6,"w","Gammaridae",546.875,0,0
