"","Site","Sample","TaxaID","season","Abundance","Biomass","Abundance.m2","Biomass.m2","scientific","common"
"1",2,1,"amp-1","f",45,0.146482,195.3125,0.635772569444444,"Gammaridae","Gammarid amphipod"
"2",2,1,"amp-1","s",150,0.1661,651.041666666667,0.72092013888889,"Gammaridae","Gammarid amphipod"
"3",2,1,"amp-1","u",28,0.002,121.527777777778,0.00868055555555556,"Gammaridae","Gammarid amphipod"
"4",2,1,"amp-1","w",96,0.0530260000000001,416.666666666667,0.230147569444445,"Gammaridae","Gammarid amphipod"
"5",2,1,"amp-11","f",2,0.0739319999999999,8.68055555555556,0.320885416666666,"Lysianassidae","Lysianassid amphipods"
"6",2,1,"amp-4","f",19,0.114924,82.4652777777778,0.498802083333333,"Corophiidae","Corophid amphipod"
"7",2,1,"amp-4","s",35,0.0866,151.909722222222,0.375868055555556,"Corophiidae","Corophid amphipod"
"8",2,1,"amp-4","u",15,0.001,65.1041666666667,0.00434027777777778,"Corophiidae","Corophid amphipod"
"9",2,1,"amp-4","w",7,0.00186399999999995,30.3819444444444,0.00809027777777754,"Corophiidae","Corophid amphipod"
"10",2,1,"amp-7","s",3,0.0751999999999999,13.0208333333333,0.326388888888889,"Ampelisca abdita","Gammarid tube-building amphipod"
"11",2,1,"amp-7","w",2,0.00128199999999993,8.68055555555556,0.00556423611111083,"Ampelisca abdita","Gammarid tube-building amphipod"
"12",2,1,"crb-1","f",44,1.222,190.972222222222,5.30381944444444,"Eurypanopeus depressus","Flat back mud crab"
"13",2,1,"crb-1","s",17,4.5454,73.7847222222222,19.7282986111111,"Eurypanopeus depressus","Flat back mud crab"
"14",2,1,"crb-1","u",12,0.534,52.0833333333333,2.31770833333333,"Eurypanopeus depressus","Flat back mud crab"
"15",2,1,"crb-1","w",2,0.1297,8.68055555555556,0.562934027777777,"Eurypanopeus depressus","Flat back mud crab"
"16",2,1,"crb-6","f",12,3.0331,52.0833333333333,13.1644965277778,"Callinectes sapidus","Blue crab"
"17",2,1,"crb-6","s",4,0.3201,17.3611111111111,1.38932291666667,"Callinectes sapidus","Blue crab"
"18",2,1,"crb-6","u",19,1.183,82.4652777777778,5.13454861111111,"Callinectes sapidus","Blue crab"
"19",2,1,"crb-6","w",5,4.9799,21.7013888888889,21.6141493055556,"Callinectes sapidus","Blue crab"
"20",2,1,"fsh-19","w",2,1.6647,8.68055555555556,7.22526041666667,"Fundulus grandis","Gulf killifish"
"21",2,1,"fsh-2","f",18,0.3681,78.125,1.59765625,"Gobiosoma bosc/robustum","Naked and Code Goby"
"22",2,1,"fsh-2","s",5,0.8253,21.7013888888889,3.58203125,"Gobiosoma bosc/robustum","Naked and Code Goby"
"23",2,1,"fsh-2","u",23,1.161,99.8263888888889,5.0390625,"Gobiosoma bosc/robustum","Naked and Code Goby"
"24",2,1,"fsh-3","f",1,0.3323,4.34027777777778,1.44227430555556,"Gobiesox strumosus","Skillet fish"
"25",2,1,"fsh-3","s",3,0.0922000000000001,13.0208333333333,0.400173611111111,"Gobiesox strumosus","Skillet fish"
"26",2,1,"fsh-3","u",1,0.104,4.34027777777778,0.451388888888889,"Gobiesox strumosus","Skillet fish"
"27",2,1,"iso-4","f",1,0.0869660000000002,4.34027777777778,0.377456597222223,"Isopoda Anthuridae","Anthurid isopod"
"28",2,1,"par-2","s",1,0.0745,4.34027777777778,0.323350694444444,"Loxothylacus panopaei","Mud crab parasitic barnacle"
"29",2,1,"poly-1","f",4,0.0968,17.3611111111111,0.420138888888889,"Alitta succinea","Clam worm"
"30",2,1,"poly-1","s",5,0.0937999999999999,21.7013888888889,0.407118055555555,"Alitta succinea","Clam worm"
"31",2,1,"poly-1","u",7,0.00600000000000001,30.3819444444444,0.0260416666666667,"Alitta succinea","Clam worm"
"32",2,1,"poly-1","w",19,0.0206999999999999,82.4652777777778,0.0898437499999998,"Alitta succinea","Clam worm"
"33",2,1,"shmp-1","f",25,0.5481,108.506944444444,2.37890625,"Palaemonetes ","Grass shrimp"
"34",2,1,"shmp-1","s",32,1.3169,138.888888888889,5.71571180555556,"Palaemonetes ","Grass shrimp"
"35",2,1,"shmp-1","u",61,0.708,264.756944444444,3.07291666666667,"Palaemonetes ","Grass shrimp"
"36",2,1,"shmp-1","w",54,2.5634,234.375,11.1258680555556,"Palaemonetes ","Grass shrimp"
"37",2,1,"shmp-2","f",1,0.0972999999999999,4.34027777777778,0.422309027777778,"Alpheidae","Snapping shrimp"
